REACTION,FORWARD [mmol/gDW/hr],REVERSE [mmol/gDW/hr]
APNNOXte,NaN,NaN
APOCF,NaN,NaN
APOCFm,NaN,NaN
APOC_LYS_BTNP,NaN,NaN
APOC_LYS_BTNPm,NaN,NaN
APPNNte,NaN,NaN
APRTO2,0.2208576575,NaN
AQCOBALt,NaN,NaN
ARAB_Lt,NaN,NaN
ARABR,0.9658480183,NaN
ARACHCOAtx,NaN,NaN
ARACHCPT1,0.0188090671,3.3431983205
ARACHCPT2,0.0016666553,0.0017388522
ARACHCRNt,NaN,NaN
ARACHDCOAtx,NaN,NaN
ARACHDt2,NaN,NaN
ARACHDtr,NaN,NaN
ARACHt,NaN,NaN
ARGDCm,0.0000587700,NaN
ARGLYSex,NaN,NaN
ARGNm,0.0038578898,NaN
ARGSS,4.3340422952,NaN
ARGt4,NaN,NaN
ARGtm,NaN,NaN
ARSA,0.0274610783,NaN
ARTCOAL1,NaN,NaN
ARTCOAL2,NaN,NaN
ARTCOAL3,NaN,NaN
R_group_phosphotase_1,NaN,NaN
R_group_phosphotase_2,NaN,NaN
R_group_phosphotase_3,NaN,NaN
ARTFR11,NaN,NaN
ARTFR12,NaN,NaN
ARTFR13,NaN,NaN
ARTFR202,NaN,NaN
ARTFR203,NaN,NaN
ARTFR204,NaN,NaN
ARTFR205,NaN,NaN
ARTFR206,NaN,NaN
ARTFR207,NaN,NaN
ARTFR208,NaN,NaN
ARTFR209,NaN,NaN
ARTFR210,NaN,NaN
ARTFR211,NaN,NaN
ARTFR212,NaN,NaN
ARTFR213,NaN,NaN
ARTFR31,NaN,NaN
ARTFR32,NaN,NaN
ARTFR33,NaN,NaN
ARTFR34,NaN,NaN
ARTFR41,NaN,NaN
ARTFR42,NaN,NaN
ARTFR43,NaN,NaN
ARTFR44,NaN,NaN
ARTFR45,NaN,NaN
ARTFR46,NaN,NaN
ARTFR51,NaN,NaN
ARTFR52,NaN,NaN
ARTFR53,NaN,NaN
ARTFR54,NaN,NaN
ARTFR55,NaN,NaN
ARTFR56,NaN,NaN
ARTFR57,NaN,NaN
ARTFR61,NaN,NaN
ARTPLM1,NaN,NaN
ARTPLM1m,NaN,NaN
ARTPLM2,NaN,NaN
ARTPLM2m,NaN,NaN
ARTPLM3,NaN,NaN
ARTPLM3m,NaN,NaN
ASAH1,0.0002301595,NaN
ASCBOX,NaN,NaN
ASCBt,NaN,NaN
ASCBt4,NaN,NaN
ASNALANaEx,NaN,NaN
ASNCYSNaEx,NaN,NaN
ASNGLNNaEx,NaN,NaN
ASNNm,0.0004724962,NaN
ASNS1,0.0206388661,NaN
ASNSERNaEx,NaN,NaN
ASNt4,NaN,NaN
ASNTHRNaEx,NaN,NaN
ASNtm,NaN,NaN
ASNtN1,NaN,NaN
Asn_X_Ser_Thrtr,NaN,NaN
ASPCTr,0.0109994313,0.0109994313
ASPDt6,NaN,NaN
ASPDxt,NaN,NaN
ASPGLUm,NaN,NaN
ASPNATm,NaN,NaN
ASPt6,NaN,NaN
ASPTAm,10.5366200203,24.8241482207
ATP1ter,NaN,NaN
ATP2ter,NaN,NaN
ATPasel,NaN,NaN
ATPH1e,4.4038848342,NaN
ATPH2e,0.4573312950,NaN
ATPtm,NaN,NaN
ATPtn,NaN,NaN
ATPtx,NaN,NaN
AVITE2t,NaN,NaN
B_MANNASEly,0.0397309869,NaN
B3GALT3g,0.0000120633,NaN
B3GALT41g,0.0003552833,NaN
B3GALT42g,0.0003552833,NaN
B3GALT43g,0.0003552833,NaN
B3GALT44g,0.0003552833,NaN
B3GALT5g,0.0003348510,NaN
B3GALTg,NaN,NaN
B3GNT11g,0.0001250469,NaN
B3GNT12g,0.0001250469,NaN
B3GNT310g,NaN,NaN
B3GNT311g,0.0018674351,NaN
B3GNT312g,NaN,NaN
B3GNT313g,NaN,NaN
B3GNT314g,NaN,NaN
B3GNT315g,NaN,NaN
B3GNT31g,NaN,NaN
B3GNT32g,NaN,NaN
B3GNT33g,NaN,NaN
B3GNT34g,NaN,NaN
B3GNT35g,NaN,NaN
B3GNT36g,NaN,NaN
B3GNT37g,NaN,NaN
B3GNT39g,NaN,NaN
B3GNT51g,NaN,NaN
BAAT1x,NaN,NaN
BAAT2x,NaN,NaN
BAAT3x,NaN,NaN
BAAT4x,NaN,NaN
BACCL,7.4363589015,NaN
BACCLm,7.4363589015,NaN
BALAtmr,NaN,NaN
BALAVECSEC,NaN,NaN
BAMPPALDOX,0.0601495776,NaN
BAMPPALDOXm,0.2005912051,NaN
BBHOX,0.0000005467,NaN
BCDO,0.0000029799,NaN
BDG2HCGHD,0.0002981581,NaN
BDHm,0.4348508857,0.2857694920
BDMT_L,0.0048388319,NaN
BDMT_U,0.0048388319,NaN
BETALDHxm,NaN,NaN
BHBt,NaN,NaN
BHBtm,NaN,NaN
BHMT,0.0000072081,NaN
BILDGLCURt,NaN,NaN
BILDGLCURte,NaN,NaN
BILDGLCURtr,NaN,NaN
BILGLCURt,NaN,NaN
BILGLCURte,NaN,NaN
BILGLCURtr,NaN,NaN
BILIRED,0.0089665399,NaN
BILIRUBt2,NaN,NaN
BILIRUBtr,NaN,NaN
BIOCYTtn,NaN,NaN
BMTer_L,0.0000062534,NaN
BMTer_U,NaN,NaN
BPNT2,0.0038914210,NaN
BTND1,0.0000911857,NaN
BTND1n,0.0002279641,NaN
BTNDe,0.0007465229,NaN
BTNDm,0.0019148988,NaN
BTNPL,0.0003906252,NaN
BTNPLm,0.0003906252,NaN
BTNt2,NaN,NaN
BTNt2m,NaN,NaN
BTNt3i,NaN,NaN
BTNt4i,NaN,NaN
BTNtn,NaN,NaN
BUP2,0.0000006376,NaN
BUTt2m,NaN,NaN
BVITEt,NaN,NaN
BZt,NaN,NaN
BZtr,NaN,NaN
C14STRr,0.0000662518,NaN
C160CPT1,0.0023723695,3.3431983205
C160CPT2,3.1125646863,0.0015296563
C160CRNt,NaN,NaN
C161CPT1,0.0188143906,3.3431983205
C161CPT12,0.0183281590,3.3431983205
C161CPT2,3.0677947202,0.0172645121
C161CPT22,3.0677947202,0.0168183350
C161CRN2t,0.0111570607,0.0111570607
C161CRNt,0.0111416638,0.0111416638
C180CPT1,0.0001635323,3.3431983205
C180CPT2,3.0677947202,0.0001500609
C180CRNt,NaN,NaN
C181CPT1,0.0001727453,3.3431983205
C181CPT2,3.0677947202,0.0001585151
C181CRNt,0.0111416638,0.0111416638
C204CPT1,0.0000990407,3.3431983205
C204CPT2,3.0677947202,0.0000908820
C204CRNt,NaN,NaN
C226COAtx,NaN,NaN
C226CPT1,0.0188126777,3.3431983205
C226CPT2,NaN,NaN
C226CRNt,NaN,NaN
C2M26DCOAHLm,17.4826947368,17.4826947368
C2M26DCOAHLx,81.5863774376,81.5863774376
C3STDH1Pr,NaN,NaN
C3STDH1r,NaN,NaN
C3STKR2r,1.1495319304,NaN
C4STMO1r,5.7928874130,NaN
C4STMO2Pr,NaN,NaN
C4STMO2r,NaN,NaN
CAATPS,NaN,NaN
CAROtr,NaN,NaN
CARVEOLte,NaN,NaN
CAT2p,998.7408088245,NaN
CAt7r,NaN,NaN
CATm,156.2766951559,NaN
CATp,499.3704044122,NaN
CBL2OR,NaN,NaN
CBL2tm,NaN,NaN
CBLATm,0.0073989228,0.0000010968
CBPPer,437.0691974111,NaN
CBPSam,0.0000073675,NaN
CBPter,NaN,NaN
CBR1,0.1115282312,0.2710609942
CBR2,0.0665815316,NaN
CCA_D3t,NaN,NaN
CCA_D3tm,NaN,NaN
CDIPTr,0.0000000000,0.0000000000
CDPDAGtm,NaN,NaN
CDS,0.0031775742,NaN
CDSm,0.0000004626,NaN
CEPTC,0.0001113762,NaN
CEPTE,NaN,NaN
CERK,0.0097979231,NaN
CERT1gt,NaN,NaN
CERT1rt,NaN,NaN
CERT2gt,NaN,NaN
CERT2rt,NaN,NaN
CGLYt3_2_,NaN,NaN
CH25H,NaN,NaN
CHAT,0.0000003682,0.0003817694
CHATn,0.0000003939,0.0004084045
CHLP,0.0000480161,NaN
CHLPCTD,0.0084399587,NaN
CHLtm,NaN,NaN
CHOLATEt,NaN,NaN
CHOLATEt2,NaN,NaN
CHOLATEt3,NaN,NaN
CHOLD2m,0.0484562858,NaN
CHOLK,NaN,NaN
CHOLPtg,NaN,NaN
CHOLPtl,NaN,NaN
CHOLt4,NaN,NaN
CHOLtg,NaN,NaN
CHOLtn,NaN,NaN
CHOLtr,NaN,NaN
CHOLtu,NaN,NaN
CHSTEROLSULT,0.0000009479,NaN
CHSTEROLt1,NaN,NaN
CHSTEROLt2,NaN,NaN
CHSTEROLt3,NaN,NaN
CHSTEROLtg,NaN,NaN
CHTNASE,0.0000810700,NaN
CHTNASEe,0.0000006268,NaN
CITMCOAHm,NaN,NaN
CITMCOALm,NaN,NaN
CITRtm,NaN,NaN
CITt4_2,NaN,NaN
CITtam,NaN,NaN
CITtbm,NaN,NaN
CK,0.1807871662,0.4101081663
CKc,13.3345651138,28.9339263821
CLFORtex,NaN,NaN
CLHCO3tex2,NaN,NaN
CLI2tex,NaN,NaN
CLOHtex2,NaN,NaN
CLOXAtex2,NaN,NaN
CLPNDCOAtx,NaN,NaN
CLPNDCPT1,0.0188148097,3.3431983205
CLPNDCPT2,NaN,NaN
CLPNDCRNt,NaN,NaN
CLPNDt,NaN,NaN
CLS_hs,0.0002723430,NaN
CMPACNAtg,NaN,NaN
CMPACNAtn,NaN,NaN
CMPSAS,0.0029809233,NaN
CMPSASn,0.0046701132,NaN
CO2ter,NaN,NaN
CO2tg,NaN,NaN
CO2tm,NaN,NaN
CO2tn,NaN,NaN
CO2tp,NaN,NaN
COAtg,NaN,NaN
COAtl,NaN,NaN
COAtm,NaN,NaN
COAtn,NaN,NaN
COAtp,NaN,NaN
COAtr,NaN,NaN
COKECBESr,0.3626844827,NaN
COQ3m,NaN,NaN
COQ5m,NaN,NaN
COQ6m,NaN,NaN
COQ7m,0.0003369440,NaN
CORE2GTg,0.0014277101,NaN
CORE3GTg,0.0000457400,NaN
CORE4GTg,0.0014061742,NaN
CORE5GTg,NaN,NaN
CORE6GTg,0.0000203532,NaN
CORE7GTg,NaN,NaN
CORE8GTg,NaN,NaN
COt,NaN,NaN
COUCOAFm,NaN,NaN
COUMARINte,NaN,NaN
CPCTDTX,0.0160600357,NaN
CREATt4_2_r,NaN,NaN
CREATtmdiffir,NaN,NaN
CRMPte,NaN,NaN
