	c	e	g	l	m	n	r	x	i
10249	1.8	0.8	0	0	5.0	1.2	0	0.2	0
1025	0.5	0.9	0	0	0.6	5.0	0	0	0
10257	1.4	1.2	0	0.6	0.6	2.3	0.3	0.2	0
102724197	-1	-1	-1	-1	-1	-1	-1	-1	-1
102724560	1.2	1.7	0	0	1.9	5.0	1.3	0	0
10273	4.8	1.0	0	1.3	1.1	4.7	4.3	0	0
10277	1.1	0	0	0	0	3.3	0.8	0	0
10283	2.1	0	0	0	0	5.0	0	0	0
10290	2.4	1.0	0	0.8	0.6	5.0	0	0	0
10295	0	0	0	0	4.8	0	0	0	0
10298	2.6	1.0	4.0	0	0.5	1.9	0.8	1.0	0
10299	1.1	0	0	0	0	0.7	5.0	0	0
10312	0.9	0	0.9	1.3	2.3	2.0	0.8	0	0
10317	0	2.8	4.1	0	0	0.5	0	0	0
10327	4.8	0	0	0	1.0	2.8	0	0	0
1033	4.8	1.5	0	0	1.4	3.1	0	0	0
10331	0.9	1.3	4.6	1.1	0.6	0	3.0	0.4	0
10351	0	0	0	0	0	0	0	0	0
10352	0	0	0	0	5.0	0.9	0	0	0
1036	5.0	0	0	0	0.7	1.7	0	0	0
10380	4.1	0.3	0	0	2.6	2.4	0	0	0
10390	0.6	0	3.0	0	1.0	3.0	3.6	2.4	0
10396	0	0	5.0	4.0	0	0	5.0	1.2	0
1040	0.8	0	0	0	0.9	1.4	4.1	0.2	0
10400	1.7	1.4	0	0	3.3	0	4.3	0	0
10402	0	1.4	4.7	0.7	0	0	1.8	0	0
10420	2.5	0	0	0	0	4.5	0	0	0
10423	0	0	3.0	0	0.7	1.5	4.5	0	0
10434	4.4	0.7	0.7	0	1.5	1.2	0	1.0	0
10449	1.4	0	0	0	5.0	0	0.8	2.1	0
10450	4.5	4.0	0	0	0	5.0	0	0	0
10455	4.2	0	0	0	4.6	4.5	0	5.0	0
10461	0.8	5.0	0	0.2	0	0.9	0.6	0.5	0
10465	2.1	0.2	0	0	0.7	4.4	0	0	0
10476	-1	-1	-1	-1	-1	-1	-1	-1	-1
10477	4.5	0	0	0	0	4.5	0	0	0
10478	1.5	0.3	0	0.4	1.6	0	2.0	5.0	0
10494	2.7	0	2.6	0	0	1.8	0	0	0
10498	4.5	0	0	0	0	5.0	0	0.8	0
10499	1.6	0	0	0	0	5.0	0	0.6	0
10514	1.5	0	0	0	0	5.0	0	0	0
10524	2.0	0	0	0	0	5.0	0	0	0
10553	4.4	3.1	0	0	0	5.0	1.3	0	0
10554	0	0.4	0	0	0	0	4.4	0	0
10555	0	1.0	0	0.3	0.7	0.8	4.4	0.2	0
10558	2.0	0	0.3	0	0.9	0.5	5.0	0	0
10559	1.0	0	5.0	0	0	0	1.4	0	0
1056	1.0	5.0	0.8	1.0	0.6	1.3	1.2	0.6	0
10560	2.1	0	1.4	0	1.1	1.4	0.6	0	0
10568	0	0.6	0	0	0	0	0	0	0
10585	0	1.3	0	0	0	0	5.0	0	0
10587	4.5	0.7	0	0	5.0	2.1	0	1.8	0
10588	4.6	0	0	0	4.3	0	0	0	0
10595	2.5	0	0	0	0.3	0.5	3.8	0.6	0
10599	0.5	1.6	0	0	0.5	1.3	0	0.3	0
10600	2.6	0	0	0	0	5.0	0	0	0
10606	4.0	0.2	0.2	0.2	1.4	1.1	0.3	0.3	0
10610	0	2.0	4.7	1.1	0	0	0.8	0	0
10617	4.5	0	0	1.7	0	5.0	0	0	0
10621	4.5	0.3	0	0	0	5.0	0	0	0
10622	4.4	0.7	0	0	0.4	5.0	0	0	0
10623	4.3	0	0	0	0	5.0	0	0.4	0
10632	-1	-1	-1	-1	-1	-1	-1	-1	-1
10645	4.8	0.7	0	0	1.2	4.6	1.1	0	0
10654	5.0	0.5	0	0	0.8	1.4	0.5	5.0	0
1066	3.6	3.9	0	1.5	1.0	1.2	4.8	1.2	0
10667	1.4	0	0	0	4.7	0	0	1.3	0
10678	0	1.4	4.6	0.2	0	0	3.2	0.2	0
10682	0	0	0	0	0	5.0	5.0	0.6	0
10690	0	1.4	5.0	0.4	0.4	0	0.8	0	0
107	1.0	0.7	0	0	0.5	2.0	0	0	0
10714	1.5	0	0	0	1.8	4.7	0	0	0
10715	0	5.0	3.0	0	0.7	0	5.0	0	0
10720	0.2	0.2	2.2	0	0	0	3.3	2.9	0
10721	2.8	0	1.6	0	0.7	4.7	0	0	0
10723	0	0	0	0	0	0.6	0	0	0
10724	-1	-1	-1	-1	-1	-1	-1	-1	-1
10728	4.8	0.8	0	0	0	5.0	0.5	0	0
10733	4.6	0.5	0	0	0	4.6	0	0	0
10746	4.7	0	0	0	0	4.7	0	0	0
1075	1.5	4.5	2.4	5.0	1.2	4.2	4.3	0.7	0
10768	4.6	0.3	0	0	0.3	1.6	4.2	0	0
10769	4.5	0.9	0	0	0.7	4.0	0	0	0
10783	4.5	0	0	0	0	5.0	0	0	0
10786	0	0	0	3.0	0	0	5.0	0	0
10797	1.6	0	0	0	5.0	0	0	0	0
108	0.9	0.7	0	0	0.7	0	0	0	0
1080	5.0	2.4	1.5	4.3	1.2	4.3	5.0	0	0
10825	2.1	0	0	1.9	0	1.9	0	0.2	0
10826	1.2	0.3	0.6	0	0.7	0.4	3.0	0.5	0
10840	4.6	0	0	0	1.4	1.3	0	0	0
10841	4.7	0	4.3	0	0	1.8	4.0	0.3	0
10846	4.5	0	0	0	0.1	1.6	0.3	0.1	0
10858	0	0.6	1.7	0.6	0	0.6	4.3	0	0
10861	0	0	0	0	0	0	0	0.5	0
10864	0	0	0	0	0	1.1	0	0	0
10868	4.5	0	0	1.0	0	0	0.6	0	0
10869	4.2	0.4	0	0	0.5	0.9	5.0	0.4	0
10870	0	3.0	0	0.5	0	0	0	0	0
10873	2.7	0	0	0	5.0	1.0	0	0.8	0
109	1.0	0.9	4.0	0	0	2.7	0	0	0
10901	4.2	0	0	0	4.5	5.0	4.0	5.0	0
10905	1.1	0	5.0	0	1.7	0.3	3.0	0	0
10908	0.7	0.8	0	0	0	0	4.5	0	0
10914	1.1	0	0	0	0	5.0	0	0	0
10919	1.3	0	0	0	0.8	5.0	0	0	0
10922	1.9	0	0	0	4.2	2.6	0	0.6	0
10928	4.5	0	0	0	0	2.7	0	0	0
10935	4.3	1.4	0	0	5.0	1.0	0.5	1.5	0
10941	-1	-1	-1	-1	-1	-1	-1	-1	-1
10948	4.0	0	0	1.0	2.9	0	1.0	1.4	1.2
10951	1.5	0	1.5	0	0	5.0	0	0	0
10954	1.6	2.3	1.5	0	0.3	1.7	5.0	0	0
10965	4.1	0	0.2	0	4.5	0.5	0	4.5	0
10975	0	0	0	0	5.0	0	0	0	0
10991	0	1.0	0	0	0	0.5	0	0	0
10993	4.7	0	0	0	4.4	0	0.1	0	0
10998	0.8	0.7	0.1	0.1	0	0	5.0	1.4	0
10999	0.9	1.5	0.3	0	1.4	0	5.0	1.4	0
11000	0	0	0	0.3	3.0	0	4.1	2.8	0
11001	4.0	0.6	0	0	0.8	0	5.0	5.0	0
11010	0	3.7	0	4.0	0.4	0	0	0.4	0
11011	1.4	0	0	0	0	5.0	0	0	0
11019	2.6	0.9	0	0	4.6	2.8	0.9	0	0
1103	4.3	1.3	0	0.5	1.6	4.6	0.6	2.1	0
11035	5.0	1.2	0	0.9	3.6	2.4	0.7	0	0
11040	3.0	0.6	0	0	0.9	2.2	0	0	0
11041	-1	-1	-1	-1	-1	-1	-1	-1	-1
11044	-1	-1	-1	-1	-1	-1	-1	-1	-1
11046	0	0	4.2	0	0	0	0.2	0	0
11059	4.7	0.8	1.5	0	1.1	3.8	0	0.7	0
11060	4.3	0	0	0.6	1.3	5.0	0	0	0
11065	4.6	0	0	0	0.8	5.0	0.4	0.4	0
11072	2.3	0	0	0	2.8	2.1	0	0	0
1109	4.4	0	0	0	0.2	1.0	0	0	0
11099	3.0	0	0	0	1.9	0.9	0	1.0	0
111	1.0	0.9	0	0	1.0	0.7	0.9	0.2	0
11101	2.7	0.2	0.2	0.8	0.7	5.0	1.0	0.4	0
11102	2.3	0.8	0	0	0.8	5.0	0	0	0
1111	4.6	0	0	0.6	1.4	5.0	0	0	0
11112	0	0	0	0	5.0	2.3	0	1.4	0
11113	4.6	0	2.0	0	0	3.2	0	0	0
11122	0	1.4	0	0.2	0	0	0.7	0.2	0
11128	4.0	0	0	0	0	5.0	0	0	0
11136	0	0	0	0	0	0	0	0	0
11143	4.3	0	0	0	0	5.0	0	0	0
11145	4.5	0	0	1.4	0.5	0	2.0	4.1	0
11156	1.1	0.6	0	0	1.2	3.2	0	0.2	0
1116	0.9	5.0	0	0.9	0.2	0.9	4.0	0	0
11163	4.0	0	0	0	0	3.5	0	0	0
11164	4.2	0	0	0	0	5.0	0	0	0
11165	4.0	0	0	0	0	4.2	0	0	0
1118	1.6	5.0	0	5.0	0.6	0.3	0	0.3	0
11181	1.1	2.4	0	0.8	0	0	1.6	0.3	0
11182	0	0	0	0	0	0	0.2	0.4	0
11183	3.4	0.8	0	0	0	0.7	0	0	0
11184	3.4	0	0	0	0.5	2.9	0	0	0
11185	5.0	0.2	0	0	0.2	1.7	0	0	0
1119	4.6	0.8	0	0	1.0	1.3	0.8	0	0
112	1.1	0.7	2.0	0	0	0	1.3	0.4	0
1120	4.0	0	0	0	1.5	0	0	0	0
11200	3.4	0.3	4.4	0	2.1	5.0	0	0	0
11201	1.5	0	0	0	1.0	4.7	0	0	0
11212	-1	-1	-1	-1	-1	-1	-1	-1	-1
11213	0.8	2.5	0	0.2	0.5	4.3	0	0	0
11219	0	0	0	0	0	3.3	0	0	0
11221	4.6	0	4.3	0	0	5.0	0	0.9	0
11226	0.3	0.8	4.8	0.3	0.3	1.6	1.1	0	0
11227	0	0.9	4.6	0.6	0	0	1.2	0.2	0
11232	0	0	0	0	5.0	1.2	0	0	0
11236	0.6	0	0	0	0	0	5.0	0	0
11238	2.2	0.9	0	0	5.0	0	0.6	0	0
11240	4.4	4.3	0	4.0	2.2	3.5	0	0.2	0
112476	0.6	0	0	0	0	2.1	0	0	0
112483	2.8	0.6	0	0	0	1.1	0	0	0
11253	1.0	0	4.3	0	0.6	0.4	5.0	0.5	0
11254	0	0	0	0	2.4	0	0	0.8	0
112611	2.5	0	0	0	0	2.0	0	0.2	0
11266	3.8	1.0	0	0	0.8	5.0	0	0	0
112724	2.0	0.2	0	0	5.0	1.2	0	0.2	0
11274	4.6	1.1	0	0	0.3	4.3	0	0	0
11277	5.0	0	0	0	0.9	5.0	5.0	0.4	0
11282	1.3	0	4.2	0	1.0	1.0	3.2	0	0
11283	0	0	0	0	0.6	0	4.0	0	1.1
11284	1.5	0	0	0	2.4	5.0	0	0.7	0
11285	0.7	1.2	5.0	0	0.5	0.7	0	0.5	0
112858	3.6	0	0	0	0	5.0	0	0	0
113	0.9	0.8	0	0	0.8	0	0	0	0
113026	2.9	0	0	0	2.4	0	0	0	0
11309	0	0	0	0	0	0.7	0	1.7	0
11313	4.3	0.7	2.0	0	0.6	1.1	0	1.3	0
11316	4.6	0.4	4.7	0	0	4.5	4.3	0	0
113189	0.5	1.1	4.3	0	1.2	1.2	0.2	0	0
11320	1.2	0	4.3	0	1.8	0	4.1	0	0
113235	2.0	0.9	0	0	0.9	0	0.2	0	0
113278	0	0	0	0	0.8	5.0	0	0	0
11328	0.3	0.8	0.3	0	2.0	0	4.5	0	0
11329	4.6	0	0	0	0	5.0	0	0	0
11332	4.6	0	0	0	4.2	4.3	0.7	2.0	0
11342	4.0	1.1	3.0	0	0.6	4.0	3.3	1.1	0
11343	4.5	0.5	0	0	0.8	4.7	4.0	1.1	0
113451	4.7	0	5.0	0	2.5	5.0	0	0	0
113612	0	0	0	0	0.7	0	4.1	0	0
113675	4.6	1.4	0	0	0	0.5	0.4	0	0
114	2.2	0.9	0	0	0	0	0.6	0	0
114112	1.5	2.2	0	0	3.5	3.3	3.0	0	0
114134	0	0	0	0	0	1.5	0	1.1	0
114571	0	0.6	0	0	1.8	0	0	0	0
1147	4.8	0.1	0.1	0.1	0.6	4.7	0.1	0.2	0
114770	0	5.0	0	0.5	0	0	0	0	0
114771	0.2	4.4	0	0	0.3	0.2	0	0.2	0
114783	0	0.3	3.1	0.2	0	0	0.5	0	0
114805	0	0.6	4.6	0.3	0	0	0.9	0.4	0
1149	4.6	0.5	0	0	3.7	4.0	0	0.5	0
114971	2.6	0.9	0	0	4.4	0	0	0.5	0
115	2.5	0.6	0	0	0	0	0	0.2	0
115019	0	0.7	0	0	0	0	0	0	0
115111	0	0	0	0	0	0	0	0	0
115123	1.9	0	0	5.0	0	0	0	0	0
1152	4.6	3.0	0	0	1.9	3.4	0	0	0
115286	0.5	2.3	0	0.2	5.0	0.5	0.2	0	0
115426	0	0	0	0	1.1	4.8	0	0	0
1155	4.8	1.5	0	0	0.5	2.1	0	0	0
115584	0.9	0	0	0	0	0	0	0	0
1158	4.6	3.3	0	0	2.1	2.2	0.5	0.4	0.8
1159	1.9	0.3	0	0	5.0	0	0	0.4	0.7
1160	2.4	0	0	0	5.0	0.9	0	0	1.0
116085	0.5	0	0	0	0.9	0.8	0	0	0
116179	2.7	0	0	0	0	1.4	0	0	0
116255	0	0.5	2.0	0	1.1	0	4.3	0.5	0
116285	0.9	0	0	0	5.0	1.0	0	0	0
116369	2.7	0	0	0	0	0.6	0	0	0
116519	0.8	5.0	0	0.5	0	0	4.0	0	0
116969	0.2	3.6	0	0.6	0.9	0.2	0	0	0
117247	0	0	0	0	0	0.6	0	0.7	0
117248	0	0.5	4.6	0	0	0	0.6	0	0
117283	4.3	0	0	0	0	3.2	0	0	0
1178	5.0	2.6	0	0.9	0.4	2.2	0	0	0
118424	0.8	0	0	0	0.8	0.8	4.3	0	0
118881	1.9	1.0	1.4	0	1.0	0	0	0.4	0
119391	4.7	1.9	0	0	0	2.4	0	0	0
1195	1.5	0	0	0	0	5.0	0	0	0
119548	0.3	3.8	0	0.5	0	0	0	0.3	0
1196	1.5	0	0	0	0	5.0	0	0	0
1198	1.5	0	0	0	0	5.0	0	0	0
12	-1	-1	-1	-1	-1	-1	-1	-1	-1
1200	0	2.0	0	5.0	1.0	0	0.3	0	0
120103	1.7	0.5	1.7	1.1	0	0	0	0	0
1208	0	5.0	0	0	0	1.1	0.5	0	0
120892	4.3	0.7	4.3	4.4	5.0	4.6	5.0	0	0
121214	4.6	0	0	0	2.2	4.5	0.4	0.5	0
121260	0.8	0	0	4.3	0	1.5	0.4	0	0
121278	4.5	1.0	0	0	0	2.9	0	0	0
1215	0.7	5.0	0	2.0	0	1.2	0	0	0
122011	4.5	0	0	0	0.4	3.6	0	0	0
122481	4.6	0.6	0	0	0	1.2	0	0	0
122618	0.4	0.4	3.3	0	0.8	3.3	4.0	0	0
122622	4.5	0	0	0	3.1	0	0	0	0
122970	4.3	0.4	0	0	0.3	0.6	0	5.0	0
123	3.6	4.3	0.9	1.0	1.2	2.7	4.3	1.5	0
123041	0	0	0	0	0	0	0.4	0	0
123096	0.2	1.4	0	0.3	5.0	0	0.2	0.5	0
123099	0	1.4	0.4	0	0	0	4.0	0	0
123263	2.4	0.7	0	0	4.4	1.7	0	0	0
123264	0.9	0.6	0	0	0	1.5	1.0	0.4	0
123283	2.2	0	0	0	1.3	4.0	0	0.5	0
123688	1.7	0	0	0	4.0	1.5	0	1.1	0
123745	4.4	0	0	3.0	0	1.4	0	0.5	0
123803	2.5	0.3	1.5	0	0	4.0	0	0	0
123876	0.9	0	0	0	4.4	1.0	0	0.2	0
124	4.7	0	0	0	1.5	4.3	0	0.3	0
1244	0.7	0.9	0	0	0	1.6	0.6	0	0
124454	0.7	0.8	0	0	5.0	2.1	0	0	0
124583	1.7	4.2	3.2	0	0.7	1.5	3.5	0.6	0
124637	0.4	0	1.6	0	0.5	1.6	0	0	0
124739	0.8	0.3	0	0	0.4	4.4	0	0.4	0
124872	0.6	1.1	4.5	0	1.4	0.9	0.5	0	0
124935	0.8	1.0	0	0	0	0	0	0	0
124975	1.6	1.0	0	0	0.7	0.8	0	0.4	0
125	4.7	0.8	0	0	1.6	4.2	0	0.2	0
125061	3.6	0	0	0	0.4	3.5	0	0.7	0
125206	0	0	0	0	0	0	0	0	0
125965	1.5	0	0	0	5.0	2.0	0	0	3.0
125981	0	0	0.8	0.8	0	0	4.2	0	0
126	4.3	0.9	0	0	1.4	4.1	0	0	0
126129	1.0	0	0	0	3.8	0.7	4.2	2.3	0
1263	2.2	0	5.0	0	0.3	5.0	0	0.3	0
126328	0.3	0.6	0	0.3	5.0	0	0.4	1.2	0
126410	0	0	1.5	0	0	0.6	4.0	0.5	0
1267	4.5	4.0	0	0	3.2	4.5	0	0	0
126792	0	1.3	5.0	0	2.0	0.4	3.0	0.4	0
127	4.7	0	0	0	1.5	4.2	0	0.8	0
127124	5.0	0	0	0	0	1.7	0	0	0
127544	4.5	0	0	3.4	0	1.9	5.0	0	0
127933	2.7	0.3	4.0	0	1.0	4.4	0	0.2	0
128	4.4	0	0	0	3.0	1.0	0	0	0
128486	0	0	0	0	0	0	4.3	0	0
128853	4.4	0.7	0	0	0	1.1	0	0	0
128869	0	0	0	0	0	0	5.0	0	0
129607	1.5	0	0	0	4.7	1.5	0	0	0
129642	1.9	0	0	0	0.9	0	4.2	0.6	0
129807	1.5	0	0	5.0	2.0	1.1	0	0	0
13	1.0	1.9	2.0	0	0.5	0	5.0	0	0
130	4.3	0	0	0	1.3	0	0	0.3	0
130013	5.0	0	0	0	0	1.0	0	1.8	0
130367	0	0	0.7	0	0	0	5.0	0.9	0
130399	1.8	2.2	0	0.2	0.3	0.2	0	0.7	0
130507	0.2	0	0	0	0	1.4	0.6	0	0
130589	1.9	0.6	0	0	0.5	1.9	0	0	0
130752	1.5	0.2	0	0	0.2	1.0	0	0.2	0
131	4.7	0	0	0	1.3	0	0.3	0.8	0
1312	4.3	3.2	0	0	1.6	1.3	0.6	0	0
1314	4.6	5.0	5.0	0	0.8	2.4	4.0	0	0
1315	4.6	0	4.6	0	0	0.5	4.2	0	0
131669	4.2	0	0	0	1.5	0.9	0	0.9	0
1317	0	1.0	0.6	0.8	0	0.5	0	0	0
131890	2.8	0	0	0	0	1.3	0	0.3	0
132	4.8	1.8	0	0	2.2	4.6	0	1.2	0
132158	4.0	0	4.0	0	3.9	0	0	0	0
132160	2.1	0	1.7	0	1.2	4.4	0.6	0.6	0
1326	4.7	0.9	0	0	0	1.6	0	0	0
1327	1.0	0.6	0	0.8	5.0	4.4	0.6	0.7	0
132789	4.5	0	0	0	0	1.4	0	0.2	0
1329	1.3	0.3	0	0	5.0	1.4	0	0	0
132949	2.5	0	0	0	0.6	2.5	0	0.4	0
133121	0	5.0	0.9	0	0	0	0.9	0.3	0
133688	0	1.2	2.4	0	0	0	5.0	0.3	0
1337	0.2	0.6	0	0.2	5.0	1.0	0	0.2	0
1339	0	0.8	0	0	5.0	1.0	0	0	0
1340	1.0	2.6	0	0	4.7	1.0	0	0	3.0
134111	2.0	0.3	0	0	0	5.0	0	0	0
1345	0	0	0	0	5.0	0.8	0	0	0
134510	2.4	0	0	0	0	5.0	0	0	0
134526	3.9	0	0	0	1.0	1.6	0	1.1	0
1346	0.1	0	0	0	5.0	1.1	0	0	0
1347	0	0	0	0	5.0	1.0	0	0	0
1349	0	0	0	0	4.7	0	0	0	0
1350	0.3	0	0	0	4.6	1.0	0	0	0
1351	0.9	1.0	0	0	5.0	0.7	0	0	0
135152	0	1.8	5.0	0	0	0.8	1.3	0	0
1356	1.9	5.0	1.8	1.1	1.2	0.8	4.4	0.7	0
1357	0	5.0	0	0.3	0	0	0.6	0	0
1358	0	5.0	1.7	0.3	0.2	0	0	0	0
1371	4.4	0	0	0	5.0	0.9	0	0	5.0
1373	2.8	0	0	0	4.6	4.6	1.2	0	0
1374	2.3	1.2	0	0	5.0	1.8	1.3	3.7	0
1375	2.6	0.8	0	0	5.0	0.8	0	1.8	0
1376	1.5	0	0	0	5.0	4.3	0	1.7	0.5
137872	0	0	0	0	4.6	0	0	0	0
137902	1.6	4.4	0	2.0	0.2	1.6	0	0.5	0
137964	-1	-1	-1	-1	-1	-1	-1	-1	-1
1384	4.3	0	0	0	5.0	2.1	3.0	5.0	0
138428	0.8	0.5	0	0	2.0	0.9	0	0	0
138429	4.6	0	0	0	0.3	1.6	0	0.5	0
138639	1.2	0	0	0	1.6	4.6	0.8	0	0
1387	0.8	1.1	0	0	0	5.0	0	0	0
139596	2.7	0.6	0	0	0	3.6	0	0	0
139728	3.5	0	1.5	0	0.6	3.0	0.6	0.4	0
140469	2.7	0	0	0	0	1.4	0	0.4	0
140609	3.2	0.5	0	0	0.6	5.0	0	0	0
140679	0.9	1.0	0	0	0	1.5	0	0	0
140687	1.5	0	4.1	0	0.8	0	0	0.4	0
140733	1.6	0	0	0	0	5.0	0	0	0
140739	4.5	1.3	0	0	1.4	1.3	0	0	0
140803	1.0	1.0	0	0	0	0	0	0	0
140838	4.5	1.6	0	0	0	2.3	0	0	0
140901	1.0	0.2	0	0	0.6	5.0	0	0.5	0
141	2.7	2.3	0	0	1.1	2.0	0	0.4	0
142	2.2	1.5	0.9	1.0	5.0	5.0	1.2	0	0
142678	4.5	0	0	0	0.7	0.9	0.5	0.4	0
142679	2.6	0.4	0	0	0.6	0.9	0	0	0
142680	0	0	0	0	0	0	0	0	0
143	4.3	0.6	0.2	0	0.6	5.0	0	1.1	0
1431	1.5	0.4	0	0	5.0	1.3	0.8	1.7	0
143162	1.2	1.3	0	0	0.7	0.5	0	0.5	0
1432	4.7	4.5	0	1.2	3.2	4.8	1.2	0.7	0
143279	4.4	0.4	0	0	0	2.5	0	0	0
1436	1.2	2.6	0	1.2	0.3	4.4	0.5	0.4	0
144193	4.3	0	0	0	0.5	1.0	0	1.0	0
144195	0.8	1.2	0	0	1.3	0.9	0.4	0	0
1445	4.8	1.4	1.6	0	0.6	1.4	0.9	0.2	0
145173	-1	-1	-1	-1	-1	-1	-1	-1	-1
1452	4.6	0	0.3	0.7	0	5.0	0	0	0
145226	0.3	1.1	0	0	0.6	0.2	3.4	0.6	0
1453	4.6	0	5.0	0	0.9	4.6	0	0.9	0
1454	4.7	0	0	0	0.6	4.6	0.3	0.3	0
1455	4.5	0	0	0	0.9	3.7	0	0	0
145553	1.6	0.3	0	0	0	1.2	0	0	0
1456	2.7	0	0	0	0	3.7	0	0	0
1457	4.6	0.6	0.9	0	1.0	5.0	0.6	0.3	0
1459	4.6	0	0	0	0	5.0	0	0	0
1460	4.7	4.4	0	0	0	5.0	0	0	0
146664	0.9	1.2	4.1	0.3	1.4	0	0	0	0
146712	1.7	0	0	0	0	2.6	0	1.2	0
1468	0	0	0	0	5.0	4.0	0	0	0
146802	0	0	0	0	0	0	0	0	0
148581	2.2	0	0	0	0	3.5	0	0.3	0
1487	2.3	1.0	1.8	0	1.3	5.0	0	0.4	0
148789	0.2	1.5	3.7	0.5	0.2	1.5	5.0	0.2	0
148867	0.8	0	4.6	0	0	0	0.7	0	0
1490	2.7	4.9	3.3	0	1.0	2.1	0.8	0.6	0
1491	4.7	1.1	0	0	1.8	2.6	1.3	0	0
149603	4.5	0.3	0	0	0	5.0	0	0	0
15	4.2	0.8	0	0	0.8	1.9	0	0.3	0
150290	2.1	0.4	0	0	3.5	5.0	0	0.6	0
1503	4.6	1.0	0.2	0	0.5	1.3	0.7	0.7	0
150465	0.9	0	0	0	0	0.4	0	0	0
150763	0.9	0	0	0	4.3	0.9	1.2	0.5	0
1508	2.4	4.7	1.4	5.0	2.0	4.6	1.4	0	0
1509	2.5	5.0	2.1	5.0	2.0	1.5	1.7	0.7	0
1510	1.1	0.8	0.6	3.5	0	0	1.0	0	0
151056	1.8	1.8	0	0.3	0.3	0	0.5	0.6	0
1511	1.1	3.7	0	4.5	0	1.1	0	0	0
151112	0.6	0.7	0	0	0	2.2	0	0	0
1512	5.0	5.0	0.8	5.0	0	2.0	0.3	0	0
1513	0.8	4.7	0	5.0	0.7	4.5	0	0	0
1514	1.8	4.7	1.2	5.0	1.2	4.4	1.1	0	0
1515	2.0	4.6	0	4.6	0	1.6	0	0	0
151531	4.7	0	0.5	0	1.8	2.2	0	0.5	0
1519	0	3.0	0	5.0	0	0	0	0	0
1520	0	4.6	0	5.0	0	0	0.5	0	0
1521	0	4.5	0	3.8	0	0	3.4	0	0
