REACTION,KCAT [1/hr],STEP
O2tm,,
O2tn,,
O2tp,,
OAGD3te,,
OAGD3tg,,
OAGT3te,,
OAGT3tg,,
OCBTm,,
OCCOAtm,,
OCCOAtx,,
OCDCAtr,,
OCDCEAtr,,
OCOAT1m,,
OCTAt,,
ODECOAtx,,
OIVD1m,,
OIVD2m,,
OIVD3m,,
OMEPRAZOLEte,,
ONPTHLte,,
OPAHir,,
ORETNF,,
ORETNF2,,
ORETNtn,,
ORETNtn2,,
ORNt3m,,
ORNt4m,,
ORNTArm,15480,10
ORNtiDF,,
ORPT,6669,5
OXAHCOtex,,
OXAtp,,
P45011A1m,,
P45011B11m,,
P45011B12m,,
P45011B21m,,
P45017A1r,,
P45017A2r,,
P45017A3r,,
P45017A4r,,
P45019A1r,,
P45019A2r,,
P4501B1r,,
P45021A1r,,
P45021A2r,,
P45027A11m,,
P45027A12m,,
P45027A13m,,
P45027A14m,,
P45027A15m,,
P45027A16m,,
P45027A1m,,
P4502A6,,
P4502C18,,
P4502C19,,
P4502C8,,
P4502C9,,
P4502C92,,
P4502C93,,
P4502C94,,
P4502D6,,
P4502E1,,
P4502F1,,
P45039A1r,,
P4503A4,,
P4503A43r,,
P4503A5,,
P4503A7r,,
P45046A1r,,
P4504B1r,,
P4504F121r,,
P4504F122r,,
P4504F123r,,
P4504F81r,,
P4507A1r,,
P4507B11r,,
P4507B12r,,
P4508B11r,,
P4508B13r,,
P450LTB4r,,
P450SCC1m,,
P5CDm,,
P5CRm,,
P5CRxm,,
PA_HSter,,
PA_HStg,,
PA_HStn,,
PACCOAL,,
PAFH,,
PAFHe,,
PAFS,,
PAIL_HStn,,
PAIL45P_HStn,,
PAIL4P_HStn,,
PAN4PP,,
PAPStg,,
PAPtg,,
PCFLOPm,,
PCHOL_HSter,,
PCHOL_HStg,,
PCHOLP_hs,,
PCHOLPg_hs,,
PCHOLPm_hs,,
PCHOLPr_hs,,
PCLAD,,
PCLYSOX,,
PCm,,
PCREATtmdiffir,,
PCRNtc,,
PCRNtm,,
PCt,,
PDE1,,
PDE1g,,
PDE4,,
PDE4g,,
PDE4n,,
PDHm,,
PDX5PO,,
PDXPP,,
PE_HSter,,
PE_HStg,,
PE_HStm,,
PEAMNO,,
PECGONCOATr,,
PEFLIP,,
PEFLIPm,,
PEPCK,,
PEPCKm,,
PEPLYStn,,
PERILLYLte,,
PEROXx,,
PEt,,
PETHCT,,
PETOHMm_hs,,
PETOHMr_hs,,
PFK26,,
PGCD,,
PGDI,9504,8
PGDIr,9504,8
PGESr,178767.4196,9
PGISr,50932.49555,12
PGLer,,
PGLYCt,,
PGPP_hs,,
PGPPT,,
PGS,,
PGSr,,
PHACCOAGLNAC,,
PHCDm,,
PHCHGSm,2954634.146,8
PHEACGLNt,,
PHEMEtm,,
PHEt4,,
PHETA1m,1943514,14
PHEtec,,
PHETHPTOX2,,
PHYCBOXL,,
PHYHx,,
PHYQt,,
PHYTt,,
PI345P3P,,
PI345P3Pn,,
PI345P5P,,
PI345P5Pn,,
PI34P3Pn,,
PI34P4Pn,,
PI34P5K,,
PI34P5Kn,,
PI3P3Pn,,
PI3P4K,,
PI3P4Kn,,
PI3P5K,,
PI45P3K,,
PI45P3Kn,,
PI45P4P,,
PI45P5P,,
PI45P5Pn,,
PI45PLC,,
PI45PLCn,,
PI4P3K,,
PI4P3Ker,,
PI4P3Kn,,
PI4P5K,,
PI4P5Kn,,
PI4PLC,,
PI4PLCn,,
PI4PP,,
PI5P3K,,
PI5P3Ker,,
PI5P4K,,
PI5P4Kn,,
PIACGT,,
PIK3,,
PIK3er,,
PIK3n,,
PIK4,,
PIK4n,,
PIK5,,
PIK5n,,
PIPLC,,
PIPLCn,,
PIter,,
PItg,,
PItn,,
PItx,,
PLA2,,
PLA2_2,,
PLA2_2e,,
PLYSPSer,,
PMEVKx,,
PMI12346PH,,
PMI12346PHn,,
PMI1346PH,,
PMI1346PHn,,
PMTCOAtx,,
PNTEH,,
PNTKm,,
PNTOt5,,
PPA2,,
PPA2m,,
PPAer,,
PPAm,,
PPAn,,
PPAP,,
PPAt,,
PPAtm,,
PPCOACm,,
PPCOAOm,,
PPD2CSPp,,
PPDOx,,
PPDOy,,
PPItr,,
PPItx,,
PPMI12346Ptn,,
PPMI1346Ptn,,
PPOR,,
PPPG9tm,,
PPPGOm,,
PPPItn,,
PRAGSr,6307.510791,11
PRASCS,18703255.81,21
PRDX,,
PRDXl,,
PRGNLONESULT,,
PRGNLONEtm,,
PRGNLONEtr,,
PRGSTRNt,,
PRISTANALtx,,
PRISTCOAtx,,
PRISTtx,,
PRO1xm,,
PROAKGOX1r,,
PROD2m,,
PRODt2r,,
PRODt2rL,,
PROSTGD2t,,
PROSTGE1t,,
PROSTGE1t3,,
PROSTGE2t,,
PROSTGE2t2,,
PROSTGE2t3,,
PROSTGF2t,,
PROSTGH2t,,
PROSTGI2t,,
PROSTGI2tr,,
PROt2rL,,
PROt4,,
PROtm,,
PRPNCOAHYDm,,
PRPNCOAHYDx,,
PS_HSter,,
PS_HStg,,
PSDm_hs,,
PSFLIP,,
PSFLIPm,,
PSSA1_hs,2250,20
PSSA2_hs,2250,20
PSt3,,
PTDCACRNCPT1,5225400,17
PTDCACRNCPT2,,
PTDCACRNt,13422600,11
PTDCAt,,
PTE2x,,
PTE3x,,
PTE4x,,
PTE5x,,
PTHPS,,
PTHPSn,,
PTRCAT1,,
PTRCOX1,,
PVD3,,
PYAM5POr,,
PYAM5Ptm,,
PYDX5Ptm,,
PYDXDH,,
PYDXK,,
PYDXPP,,
PYLALDOX,,
PYLALDOXm,,
PYNP2r,57902.06981,11
PYRt2m,,
PYRt2p,,
QUILSYN,,
RADH,,
RADH2,,
RADH3,,
RADH4,,
RAHY,,
RAI1,985140,20
RAI2,985140,20
RAI3,,
RAI4,10039.00925,12
RAtn,,
RAtn3,,
RBK_D,,
RBTt,,
RDH1,72,9
RDH1a,,
RDH2,72,9
RDH2a,,
RDH3,72,9
RDH3a,,
RDH4,72,9
RETFA,,
RETFAt,,
RETFAt1,,
RETFAt2,,
RETH,,
RETH1,,
RETH1e,,
RETH2,,
RETH2e,,
RETHe,,
RETI1,985140,20
RETI2,985140,20
RETI3,985140,20
RETNCOA,,
RETNGLCt,,
RETNGLCt2,,
RETNGLCt2r,,
RETNGLCtr,,
RETNt,,
RETNtr,,
RETNtr2,,
RIBFLVt3,,
RIBt,,
RIBt2,,
RNMK,,
RTOT_2,,
RTOT_3,,
RTOT1,,
RTOT2,,
RTOT3,,
RTOT4,,
RTOT5,,
RTOT6,,
RTOTAL2CRNCPT1,5225400,17
RTOTAL2CRNCPT2,699808.7534,35
RTOTAL2CRNt,434853.6198,35
RTOTAL2t,,
RTOTAL3CRNCPT1,5225400,17
RTOTAL3CRNCPT2,5395562.1,12
RTOTAL3CRNt,6840046.347,11
RTOTAL3t,,
RTOTALCRNCPT1,5225400,17
RTOTALCRNCPT2,,
RTOTALCRNt,,
RTOTALt,,
Rtotaltl,,
Rtotaltp,,
S23T2g,,
S23T3g,,
S23T4g,,
S23Tg,,
S26Tg,,
S2L2FN2M2MASNt,,
S2L2FN2M2MASNtly,,
S2L2N2M2MASNtly,,
S2T1g,,
S2T2g,,
S2T3g,,
S2T4g,,
S2TASE1ly,,
S2TASE2ly,,
S2TASE3ly,,
S2TASE4ly,,
S2TASE5ly,,
S3T1g,,
S3T2g,,
S3T3g,,
S3TASE1ly,37722.11642,21
S3TASE2ly,37722.11642,21
S3TASE3ly,37722.11642,21
S4T1g,,
S4T2g,,
S4T3g,,
S4T4g,,
S4T5g,,
S4T6g,,
S4TASE1ly,514800,12
S4TASE2ly,514800,12
S4TASE3ly,514800,12
S4TASE4ly,514800,12
S4TASE5ly,514800,12
S6T10g,,
S6T11g,,
S6T12g,,
S6T13g,,
S6T14g,,
S6T15g,,
S6T16g,,
S6T17g,,
S6T18g,,
S6T19g,,
S6T1g,,
S6T20g,,
S6T21g,,
S6T22g,,
S6T23g,,
S6T24g,,
S6T25g,,
S6T2g,,
S6T3g,,
S6T4g,,
S6T5g,,
S6T6g,,
S6T7g,,
S6T8g,,
S6T9g,,
S6TASE10ly,37722.11642,21
S6TASE11ly,37722.11642,21
S6TASE12ly,37722.11642,21
S6TASE13ly,37722.11642,21
S6TASE14ly,37722.11642,21
S6TASE15ly,37722.11642,21
S6TASE16ly,37722.11642,21
S6TASE17ly,37722.11642,21
S6TASE18ly,37722.11642,21
S6TASE19ly,37722.11642,21
S6TASE1ly,37722.11642,21
S6TASE20ly,37722.11642,21
S6TASE21ly,37722.11642,21
S6TASE22ly,37722.11642,21
S6TASE23ly,37722.11642,21
S6TASE24ly,37722.11642,21
S6TASE25ly,37722.11642,21
S6TASE26ly,37722.11642,21
S6TASE2ly,37722.11642,21
S6TASE3ly,37722.11642,21
S6TASE4ly,37722.11642,21
S6TASE5ly,37722.11642,21
S6TASE6ly,37722.11642,21
S6TASE7ly,37722.11642,21
S6TASE8ly,37722.11642,21
S6TASE9ly,37722.11642,21
SACCD3m,,
SACCD4m,,
SADT,,
SALMCOM,,
SALMCOM2,,
SAMHISTA,,
SARCOXp,,
SARCStex,,
SARCStm,,
SARCStp,,
SARDHm,,
SBPP1er,,
SBPP3er,,
SBTD_D2,,
SBTR,,
SCP21x,,
SCP22x,,
SCP2x,,
SCPx,,
SEAHCYSHYD,,
SEAHCYStn,3672,19
SEASMETtn,198360,11
SELADT,,
SELCYSLY,,
SELCYSLY2,,
SELCYSTGL,,
SELCYSTS,,
SELMETAT,,
SELNPS,,
SELt4_3,,
Ser_Thrtg,,
SERALANaEx,,
SERASNNaEx,,
SERCYSNaEx,,
SERDGLNexR,,
SERDGLYexR,,
SERGLNexR,,
SERGLNNaEx,,
SERGLYexR,,
SERHL,,
SERLYSNaex,,
SERPT,,
SERt4,,
SERTHRNaEx,,
SERtN1,,
SERtp,,
SFGTH,,
SGALSIDEtg,,
SGALSIDEtl,,
SGPL11r,,
SGPL12r,,
SIAASE,,
SIAASE2ly,,
SIAASE3ly,,
SIAASE4ly,,
SIAASEly,,
SIAT4Bg,,
SIAT9g,,
sink_citr[c],,
sink_pre_prot[r],,
SLCBK1,,
SLDt,,
SLDx,7440,14
SLDxm,181036350,5
SMPD3g,,
SMPD3l,,
SMPD4,,
SMS,,
SO4CLtex2,,
SO4HCOtex,,
SO4OXAtex2,,
SO4t4_2,,
SO4tl,,
SOAT11,,
SOAT11r,,
SOAT12,,
SOAT12r,,
SPC_HSt,,
SPH1Pte,,
SPH1Ptr,,
SPHGNtr,,
SPHINGStl,,
SPHINGStr,,
SPHK21c,,
SPHMDAc,,
SPHMYLNtg,,
SPHMYLNtl,,
SPHS1Pte,,
SPHS1Ptr,,
SPMDOX,,
SPODMe,,
SPODMm,,
SPODMn,,
SPODMx,,
SPR,,
SPRMS,,
SPRn,,
SPTix,,
SQLEr,,
SQLSr,,
SR5AR2r,,
SR5ARr,,
SRTN23OX,,
SRTNACT,,
SRTNMTX,,
SRTNt6_2_r,,
SRTNtu,,
ST3GAL21g,,
ST3GAL22g,,
ST3GAL23g,,
ST3GAL31g,,
ST3GAL61g,,
ST3GAL62g,,
ST6GALNAC21,,
ST6GALNAC22,,
ST6GALNAC23,,
ST6GALNAC24,,
ST6GALNAC25,,
ST6GALNAC26,,
ST6GALNAC27,,
ST6GALNAC28,,
ST6GALNAC31,,
ST6GALNAC62,,
ST8SIA11,,
ST8SIA12,,
ST8SIA51g,,
ST8SIA52g,,
ST8SIA53g,,
ST8SIA54g,,
ST8SIA55g,,
ST8SIA56g,,
STCOAtx,,
STRDNCCPT1,5225400,17
STRDNCCPT2,783.0977054,22
STRDNCCRNt,1099.18666,22
STRDNCt,,
STS1,,
STS1r,,
STS2,,
STS2r,,
SUCCt2m,,
SUCCt4_2,,
SUCCtp,,
SUCD1m,18783618.61,21
SUCOAS1m,723600,17
SUCOASm,723600,5
SUCRe,,
SULFOX,,
T2M26DCOAHLm,13422600,11
T2M26DCOAHLx,13422600,11
T4HCINNMFM,,
T4HCINNOX,,
TAGAT_Dt,,
TAGt,,
TAURt4_2_r,,
TAURtcx,,
TAXOLte,,
TCHOLAt,,
TCHOLAt2,,
TCHOLAte,,
TCHOLAtx,,
TCYNTt,,
TCYNTtm,,
TDCHOLAte,,
TDCHOLAtx,,
TDP,,
TDPDRR,,
TDPm,,
TETHEX3COAtx,,
TETHEX3t,,
TETPENT3COAtx,,
TETPENT3CPT1,5225400,17
TETPENT3CPT2,,
TETPENT3CRNt,,
TETPENT3t,,
TETPENT6COAtx,,
TETPENT6CPT1,5225400,17
TETPENT6CPT2,,
TETPENT6CRNt,478800,11
TETPENT6t,,
TETTET6COAtx,,
TETTET6CPT1,5225400,17
TETTET6CPT2,478800,11
TETTET6CRNt,,
TETTET6t,,
THBPT4ACAMDASE,,
THCHOLSTOICtm,,
THD1m,,
THFt2,,
THFtl,,
THFtm,,
THMDt4,,
THMMPt4,,
THMMPtm,,
THMP,,
THMPPtm,,
THMt2m,,
THMTP,,
THMTPt,,
THP2Ctp,,
THRALANaEx,,
THRASNNaEx,,
THRCYSNaEx,,
THRGLNexR,,
THRGLNNaEx,,
THRGLYexR,,
THRSERNaEx,,
THRt4,,
THYMDt1,,
THYMDtl,,
THYMDtm,,
THYMt,,
THYOXt,,
THYOXt2,,
THYPX,,
TMABADH,,
TMDK1m,,
TMDPP,25920,8
TMDPPK,,
TMLYSOX,,
TMLYSter,,
TMNDNCCOAtx,,
TMNDNCCPT1,5225400,17
TMNDNCCPT2,,
TMNDNCCRNt,67672.42035,11
TMNDNCt,,
TOLBUTAMIDEte,,
TRDR,,
TRDR2,,
TRDR3,,
TRDRm,,
TREH,,
TREHe,,
TRIODTHYSUFt,,
TRIODTHYSULT,,
TRIODTHYt,,
TRIODTHYt2,,
TRIOK,,
TRPHYDRO2,,
TRPO2,,
TRPt4,,
TRYPTAOX,,
TS3,18340.09302,8
TSTSTERONEGLCte,,
TSTSTERONEGLCtr,,
TSTSTERONESte,,
TSTSTERONESULT,,
TSTSTERONEt,,
TSTSTERONEtr,,
TSULt4_3,,
TTDCAtr,,
TTDCPT2,,
TTDCRNt,16342.21306,8
TXA2te,,
TXA2tr,,
TXASr,,
TYMSFt,,
TYMSULT,,
TYR3MO2,,
TYRASE,,
TYRCBOX,,
TYRDOPO,,
TYRDOPO3,,
TYROXDAc,,
TYRt,,
TYRt4,,
TYRTAm,88800,3
UAG2EMAi,,
UAGALDP,,
UDPACGALtl,,
UDPDOLPT_L,,
UDPDOLPT_U,,
UDPG1P,,
UDPGALt2g,,
UDPGALtg,,
UDPGD,,
UDPGLCAter,,
UDPGLCAtg,,
UDPGLCter,,
UDPGLCtg,,
UDPGLDCg,,
UDPGNP,,
UDPGP,,
UDPtl,,
UDPXYLter,,
UDPXYLtg,,
UGALGTg,,
UGALNACter,,
UGALNACtg,,
UGCG,,
UGLCNACtg,,
UGT1A10r,25.2,19
UGT1A1r,,
UGT1A2r,,
UGT1A3r,,
UGT1A4r,,
UGT1A5r,,
UGT1A5r2,,
UGT1A6r,,
UGT1A7r,,
UGT1A8r,,
UGT1A9r,,
UMPK2,297082.0227,8
UMPK2n,297082.0227,8
UMPK3,304758.8888,8
UMPK3n,304758.8888,8
UMPK4,303537.7773,8
UMPK4n,303537.7773,8
UMPK5,304758.8888,8
UMPK5n,304758.8888,8
UMPK6,292137.2268,8
UMPK6n,292137.2268,8
UMPK7,301396.9129,8
UMPK7n,301396.9129,8
UMPKm,3807.469973,20
UMPKn,304758.8888,8
UMPtr,,
UNK2,,
UPPN,,
URAt,,
URATEt,,
URATEtx,,
UREAt5,,
UREAtm,271830.1717,8
URIDK2m,298517.0962,8
URIK1,,
URIt,,
URIt4,,
Uritl,,
Uritm,,
Uritn,,
UROLACer,1267403.873,20
UTPtn,,
VACCt,,
VALt4,,
VALt5m,,
VALTAm,3870000,2
VALtec,,
VD3,,
VITD2Hm,,
VITD2t,,
VITD2tm,,
VITD3Hm,,
VITD3t,,
VITD3tm,,
VITD3tm3,,
VLCS2p,,
VLCS2r,,
VLCSp,,
VLCSr,,
WHDDCAte,,
WHHDCAte,,
WHTSTSTERONEte,,
WHTTDCAte,,
XANDp,,
XANtx,,
XAO2x,,
XAOx,,
XOL27OHtm,,
XOL7AH2tm,,
XOL7AH2tr,,
XOL7AONEtr,,
XOLDIOLONEt,,
XOLDIOLONEtm,,
XOLEST2te,,
XOLESTte,,
XOLTRI24tc,,
XOLTRI24te,,
XOLTRI25tc,,
XOLTRI25te,,
XOLTRI27tc,,
XOLTRI27te,,
XOLTRIOLtm,,
XOLTRIOLtr,,
XSERtg,,
XYLK,,
XYLTD_Dr,4323480,5
XYLTer,,
XYLtly,,
XYLTt,,
XYLUR,2250,2
YVITEt,,
EX_4abutn[e],,
EX_acmana[e],,
EX_ahdt[e],,
EX_ctp[e],,
EX_dgmp[e],,
EX_dgtp[e],,
EX_dha[e],,
EX_dhap[e],,
EX_dtmp[e],,
EX_dttp[e],,
EX_fad[e],,
EX_fald[e],,
EX_g1p[e],,
EX_HC00229[e],,
EX_HC00250[e],,
EX_HC01104[e],,
EX_HC01361[e],,
EX_HC01440[e],,
EX_HC01441[e],,
EX_HC01444[e],,
EX_HC01446[e],,
EX_HC01577[e],,
EX_HC01609[e],,
EX_HC01610[e],,
EX_HC01700[e],,
EX_HC02160[e],,
EX_HC02161[e],,
EX_itp[e],,
EX_orot[e],,
EX_prpp[e],,
EX_pydx5p[e],,
EX_udpg[e],,
r0001,,
r0002,,
r0009,,
r0013,,
r0016,3816,12
r0021,594000,2
r0022,594000,2
r0023,,
r0024,,
r0027,900,5
r0028,,
r0033,,
r0034,,
r0047,,
r0051,29547,6
r0055,817380,17
r0062,,
r0068,,
r0074,784800,14
r0081,114508.8,5
r0083,,
r0084,,
r0085,,
r0086,,
r0093,,
r0097,,
r0113,,
r0119,,
r0120,,
r0121,,
r0122,,
r0129,10725.75,9
r0130,10725.75,9
r0139,518981.1367,11
r0142,,
r0145,,
r0149,521942.4611,11
r0153,,
r0156,,
r0157,,
r0160,,
r0163,,
r0165,,
r0166,,
r0170,1720.8,11
r0173,658772.3077,5
r0178,103358.4833,11
r0179,,
r0181,287640,5
r0186,,
r0191,,
r0193,432,8
r0196,827.1179809,11
r0202,864000,2
r0205,,
r0208,,
r0210,,
r0221,,
r0224,,
r0226,,
r0236,,
r0239,250440,11
r0242,821615.0943,8
r0245,205920,5
r0246,,
r0249,7200,5
r0267,,
r0268,,
r0276,1008,5
r0280,,
r0281,17468.27438,19
r0283,,
r0287,,
r0301,,
r0308,,
r0309,615.6,14
r0310,,
r0311,,
r0317,18720,17
r0319,,
r0321,,
r0330,,
r0331,,
r0340,,
r0354,,
r0355,,
r0357,,
r0358,,
r0360,,
r0361,,
r0363,,
r0364,,
r0365,,
r0366,,
r0368,,
r0377,,
r0380,,
r0381,1224000,15
r0383,,
r0384,,
r0385,,
r0386,,
r0388,,
r0389,,
r0390,343227.6498,8
r0391,9000,15
r0393,,
r0394,248400,5
r0395,,
r0399,,
r0400,,
r0402,,
r0403,,
r0407,7.2,5
r0408,1285200,8
r0409,1285200,8
r0410,949531.5,17
r0413,,
r0423,,
r0424,132868.5526,11
r0425,131776.2582,11
r0426,18720,5
r0430,,
r0431,5225400,17
r0432,5225400,17
r0433,,
r0434,5225400,17
r0437,5225400,17
r0438,,
r0440,,
r0441,5225400,17
r0443,,
r0444,,
r0446,,
r0450,46080,6
r0451,,
r0456,,
r0463,9027,5
r0464,8441.880795,8
r0465,,
r0466,,
r0470,,
r0472,10192.2,12
r0474,10192.2,12
r0475,10192.2,12
r0480,17962.32957,11
r0483,3870000,14
r0488,82.8,12
r0494,500818.9476,11
r0497,72000,11
r0502,,
r0504,,
r0509,,
r0510,,
r0511,,
r0512,3888,3
r0514,,
r0517,1113.752426,11
r0522,,
r0523,,
r0525,784800,14
r0527,9972,11
r0531,11520,9
r0537,,
r0539,,
r0541,,
r0545,,
r0546,,
r0547,122626.4981,9
r0548,,
r0549,8447.064777,8
r0552,259865.9602,11
r0553,261791.6827,11
r0555,,
r0556,5225400,17
r0557,,
r0558,174096,17
r0559,144,8
r0560,,
r0561,,
r0568,,
r0571,127465.9847,20
r0573,,
r0575,1720.8,11
r0578,4208.666448,11
r0579,,
r0580,,
r0584,1222012.852,11
r0587,388800,11
r0590,,
r0591,1222012.852,11
r0594,,
r0595,,
r0596,,
r0598,,
r0603,,
r0604,,
r0610,1285200,8
r0611,1285200,8
r0614,10440,8
r0615,784800,2
r0616,784800,2
r0617,266400,2
r0618,,
r0620,1656,17
r0625,,
r0626,,
r0627,43273813.31,11
r0629,5225400,17
r0630,5225400,17
r0633,615.6,14
r0634,29621.5993,8
r0636,1321.2,6
r0637,,
r0638,615.6,14
r0639,,
r0641,4140000,9
r0642,8380.625,8
r0643,8380.625,8
r0644,144,8
r0645,174096,17
r0647,1285200,8
r0648,,
r0649,,
r0650,284400,17
r0651,284400,17
r0652,615.6,14
r0653,,
r0655,,
r0656,,
r0660,13422600,11
r0661,,
r0666,2891920.077,23
r0668,6480,11
r0669,,
r0670,,
r0672,160922.16,14
r0673,,
r0678,,
r0679,4304.332377,11
r0680,4304.332377,11
r0681,,
r0682,,
r0683,,
r0686,225000,14
r0688,8482.808219,8
r0691,,
r0692,,
r0693,,
r0694,,
r0695,,
r0696,,
r0697,,
r0698,,
r0701,,
r0702,,
r0706,,
r0707,760376.4706,8
r0708,,
r0709,,
r0712,,
r0713,,
r0714,,
r0715,,
r0716,,
r0717,,
r0718,,
r0719,,
r0720,,
r0721,,
r0722,636120,3
r0723,,
r0724,29621.5993,8
r0726,636120,3
r0727,,
r0728,13422600,11
r0729,,
r0730,,
r0731,,
r0732,,
r0733,,
r0734,,
r0735,615.6,14
r0737,,
r0739,550800,5
r0741,,
r0743,,
r0744,,
r0747,10.8,2
r0750,10.8,2
r0752,118981.3088,9
r0753,,
r0754,118490.9712,9
r0755,,
r0756,117971.7083,9
r0757,,
r0758,8694.728585,8
r0760,,
r0761,,
r0762,,
r0763,,
r0764,,
r0765,,
r0766,,
r0767,,
r0768,,
r0769,,
r0770,,
r0771,,
r0772,,
r0773,,
r0774,793.8,9
r0775,,
r0776,,
r0777,,
r0778,,
r0779,,
r0780,615.6,14
r0781,5487.31674,20
r0782,,
r0783,615.6,14
r0784,6165,14
r0786,,
r0787,,
r0788,14868,5
r0789,17962.32957,11
r0791,403200,18
r0795,,
r0796,9720,9
r0797,9720,9
r0800,,
r0801,,
r0802,,
r0803,,
r0804,,
r0805,,
r0806,,
r0807,,
r0808,,
r0809,606000,12
r0812,446.0429663,20
r0813,,
r0817,,
r0818,,
r0819,,
r0821,,
r0822,,
r0825,,
r0826,,
r0829,,
r0830,,
r0834,,
r0835,,
r0836,,
r0838,,
r0839,,
r0840,,
r0841,,
r0842,,
r0845,,
r0853,,
r0859,,
r0860,,
r0870,,
r0871,,
r0879,,
r0881,,
r0885,,
r0886,,
r0892,,
r0899,,
r0907,,
r0908,,
r0909,,
r0911,,
r0913,,
r0915,,
r0917,,
r0921,,
r0924,,
r0925,,
r0926,,
r0927,,
r0931,,
r0932,,
r0934,,
r0936,,
r0937,,
r0940,,
r0941,,
r0942,,
r0944,,
r0946,,
r0947,,
r0950,,
r0954,,
r0960,,
r0961,,
r0962,,
r0968,,
r0970,,
r0973,,
r0974,,
r0975,,
r0983,,
r0984,,
r0986,,
r0987,,
r0988,,
r0989,,
r0990,,
r0992,,
r0993,,
r0994,,
r0995,,
r0997,,
r0998,,
r0999,,
r1000,,
r1001,,
r1002,,
r1003,,
r1004,,
r1005,,
r1006,,
r1007,,
r1008,,
r1010,,
r1011,,
r1012,,
r1013,,
r1014,,
r1015,,
r1017,,
r1018,,
r1019,,
r1020,,
r1021,,
r1024,,
r1025,,
r1026,,
r1027,,
r1028,,
r1029,,
r1030,,
r1033,,
r1034,,
r1043,,
r1044,,
r1045,,
r1048,,
r1049,,
r1050,,
r1051,,
r1052,,
r1054,,
r1055,,
r1056,,
r1057,,
r1059,,
r1061,,
r1062,,
r1063,,
r1064,,
r1067,,
r1068,,
r1071,,
r1073,,
r1074,,
r1076,,
r1077,,
r1078,,
r1080,,
r1081,,
r1082,,
r1088,,
r1090,,
r1092,,
r1093,,
r1094,,
r1095,,
r1096,,
r1097,,
r1098,,
r1099,,
r1100,,
r1101,,
r1102,,
r1103,,
r1104,,
r1105,,
r1106,,
r1109,14980,17
r1112,417.6,21
r1113,417.6,21
r1116,,
r1117,,
r1127,,
r1128,,
r1129,,
r1130,,
r1131,,
r1132,,
r1133,,
r1134,,
r1135,2628,5
r1140,,
r1143,,
r1144,,
r1146,,
r1147,,
r1148,,
r1150,,
r1154,225691.8924,23
r1155,,
r1156,11520,9
r1159,,
r1162,,
r1163,,
r1164,,
r1165,,
r1166,,
r1167,,
r1168,,
r1169,,
r1170,,
r1171,,
r1172,,
r1173,,
r1174,,
r1175,,
r1176,,
r1177,,
r1178,,
r1179,,
r1180,,
r1181,,
r1182,,
r1183,,
r1184,,
r1185,,
r1186,,
r1187,,
r1188,,
r1189,,
r1190,,
r1251,,
r1252,,
r1253,,
r1254,,
r1255,,
r1257,,
r1259,,
r1260,,
r1262,,
r1290,,
r1291,,
r1292,,
r1293,24812902.18,11
r1294,24812902.18,11
r1298,,
r1299,,
r1301,,
r1302,,
r1303,,
r1304,,
r1313,,
r1314,,
r1315,,
r1316,,
r1317,,
r1318,,
r1319,,
r1320,,
r1321,,
r1322,,
r1323,,
r1324,,
r1325,,
r1326,,
r1327,,
r1328,,
r1329,,
r1330,,
r1331,,
r1332,,
r1333,,
r1334,,
r1335,,
r1336,,
r1337,,
r1338,,
r1339,9720,9
r1340,9720,9
r1341,9720,9
r1342,9720,9
r1343,9720,9
r1344,,
r1345,,
r1346,,
r1347,,
r1348,,
r1349,,
r1350,,
r1351,,
r1352,,
r1353,,
r1354,,
r1355,,
r1356,,
r1357,,
r1358,,
r1359,,
r1364,,
r1365,,
r1367,,
r1368,,
r1374,,
r1375,,
r1377,816342,20
r1378,124200,3
r1380,364.3749735,20
r1381,1522.8,9
r1382,,
r1383,,
r1384,4327.326316,11
r1386,,
r1391,5306400,12
r1392,122.94,11
r1393,,
r1400,,
r1401,,
r1402,,
r1403,,
r1411,,
r1418,1057800000,2
r1421,,
r1423,,
r1427,,
r1428,,
r1429,,
r1430,,
r1431,,
r1432,,
r1433,68067.6,3
r1434,,
r1435,,
r1436,,
r1437,,
r1440,,
r1441,,
r1443,,
r1444,,
r1445,,
r1446,,
r1447,,
r1448,,
r1449,,
r1450,,
r1451,,
r1453,,
r1454,,
r1455,,
r1456,,
r1457,,
r1459,,
r1464,,
r1466,,
r1467,,
r1468,,
r1472,,
r1474,,
r1477,,
r1479,,
r1481,,
r1487,104.4,11
r1493,,
r1495,,
r1497,,
r1498,,
r1499,,
r1500,,
r1501,,
r1502,,
r1503,,
r1512,,
r1514,,
r1515,,
r1516,,
r1517,,
r1518,,
r1519,,
r1520,,
r1521,,
r1522,,
r1523,,
r1525,,
r1526,,
r1527,,
r1529,,
r1530,,
r1531,,
r1532,,
r1533,,
r1536,,
r1538,,
r1540,,
r1544,,
r1546,,
r1547,,
r1548,,
r1549,,
r1551,,
r1552,,
r1553,,
r1554,,
r1556,,
r1557,,
r1559,,
r1560,,
r1561,,
r1562,,
r1563,,
r1564,,
r1565,,
r1566,,
r1567,,
r1568,,
r1569,,
r1570,,
r1571,,
r1573,,
r1574,,
r1575,,
r1576,,
r1578,,
r1579,,
r1580,,
r1581,,
r1583,,
r1584,,
r1585,,
r1586,,
r1587,,
r1588,,
r1589,,
r1590,,
r1591,,
r1592,,
r1593,,
r1594,,
r1595,,
r1596,,
